,tx,ty,tz,PL,angle
0,0.0022199999999999998,-0.004011,-0.001128,45,4
0,5.999999999999983e-05,-0.0006339999999999998,-0.0006469999999999998,46,4
0,0.0011679999999999998,-0.001461,0.00017300000000000009,47,4
0,0.0011430000000000004,-0.0017849999999999997,-0.00025000000000000017,48,4
0,0.0011610000000000001,-0.0007739999999999997,0.0009710000000000004,49,4
0,0.0008590000000000001,-0.00101,0.00020299999999999984,50,4
0,0.0013950000000000002,-0.0013160000000000001,0.0007089999999999998,51,4
0,0.002556,-0.004049,-0.0006209999999999999,52,4
0,0.0004930000000000001,-0.0007050000000000001,-3.5000000000000146e-05,53,4
0,0.0030399999999999993,-0.0026700000000000005,0.0017769999999999997,54,4
0,0.0005449999999999999,-0.00024300000000000027,0.0006009999999999998,55,4
0,-0.0005159999999999997,-0.0001460000000000002,-0.0010129999999999998,56,4
0,0.0018950000000000004,-0.002,0.0007160000000000002,57,4
0,0.002268,-0.002314,0.0009469999999999997,58,4
0,-0.0005050000000000001,0.00019499999999999997,-0.0005869999999999998,59,4
0,0.0019390000000000002,-0.0034339999999999996,-0.0009000000000000001,60,4
0,0.0011940000000000002,-0.0019990000000000003,-0.00041700000000000016,61,4
0,0.0002899999999999999,-0.0008310000000000002,-0.0005099999999999998,62,4
0,-0.00010099999999999964,0.00022899999999999993,0.00010599999999999997,63,4
0,0.0006340000000000001,-0.0008279999999999993,5.1999999999999854e-05,64,4
0,0.0009109999999999999,-0.001483,-0.00027399999999999983,65,4
0,0.0005089999999999999,-0.000266,0.0005089999999999999,66,4
0,0.0018150000000000002,-0.0011790000000000001,0.001547,67,4
0,-0.0005369999999999999,0.0010659999999999992,0.000382,68,4
0,0.00045199999999999993,0.00043400000000000036,0.001245,69,4
0,-0.0014310000000000006,0.001399,-0.0006679999999999999,70,4
0,0.0054719999999999994,0.0017569999999999999,-4.299999999999996e-05,1,5
0,0.004534,-0.00046699999999999997,-0.003688,2,5
0,-0.0006299999999999997,0.0014420000000000001,0.0031330000000000004,3,5
0,-0.0009170000000000001,0.0011469999999999998,0.0027480000000000004,4,5
0,0.005398999999999999,0.0031240000000000005,0.002604,5,5
